Frame,tanxy_x,tanxy_y,Region
12,36,23,0
13,37,-8,0
14,36,134,0
15,37,145,0
16,-69,139,0
17,-14,150,0
18,175,17,0
19,-2,153,0
20,52,17,0
21,37,-4,0
22,43,134,0
23,37,139,0
24,37,-7,0
25,-53,164,0
26,-57,159,0
27,-14,164,0
28,-60,163,0
29,170,109,0
30,-54,175,0
32,36,149,0
33,41,158,0
34,42,164,0
35,33,155,0
36,-43,154,0
37,-43,164,0
38,-38,183,0
39,-35,177,0
40,-43,182,0
41,-38,182,0
42,-45,173,0
43,-55,168,0
44,-38,173,0
45,46,37,0
46,47,155,0
47,48,158,0
48,47,155,0
50,53,148,0
51,-43,154,0
52,52,154,0
53,62,154,0
54,53,159,0
55,48,32,0
57,304,28,0
58,62,27,0
59,56,27,0
60,56,26,0
61,61,27,0
62,47,28,0
63,47,36,0
64,56,26,0
65,53,27,0
66,47,31,0
67,47,22,0
70,290,134,0
71,63,139,0
